Symbol,Company Name,Security Type,IPO Year,IPO Start Date,IPO End Date,Listing Date,Issue Price (₹),Price Band Low (₹),Price Band High (₹),Face Value (₹),Lot Size (shares),Issue Size,Issue Type,Registrar,QIB Subscription (x),NII Subscription (x),RII Subscription (x),Employee Subscription (x),Total Subscription (x),QIB Shares Offered,NII Shares Offered,RII Shares Offered,Total Shares Offered,QIB Shares Bid For,NII Shares Bid For,RII Shares Bid For,Total Shares Bid For,Listing Day Close (₹),Listing Week Close (₹),Listing Day Gain (%),Listing Week Gain (%)
GNA,GNA Axles Limited,EQ,2016,14-SEP-2016,16-SEP-2016,26-SEP-2016,207.0,205.0,207.0,10.0,,"Public Issue of upto 6,300,000 Equity Shares (Including Anchor portion of 1,830,000 Equity Shares)",100% Book Building,Link Intime India Private Limited,15.460131147540984,106.89390163934426,3.643311475409836,0.01015,27.84111409395973,1220000.0,915000.0,2135000.0,4470000.0,18861360.0,97807920.0,53001830.0,124449780.0,116.44361877441406,108.43677520751953,-43.74704407033137,-47.61508444081182
IBULHSG,Indiabulls Housing Finance Limited,Z9,2016,15-SEP-2016,16-SEP-2016,09-APR-2024,,1000.0,1000.0,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,
AVSL,AVSL Industries Limited,SME,2016,15-SEP-2016,28-SEP-2016,06-OCT-2016,36.0,36.0,36.0,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,39000.0,1239000.0,1047000.0,1596000.0,,,,
769ICPR35,ICICI Prudential Life Insurance Company Limited,N0,2016,19-SEP-2016,21-SEP-2016,02-DEC-2025,,300.0,334.0,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,
HPL,HPL Electric and Power Limited,EQ,2016,22-SEP-2016,26-SEP-2016,04-OCT-2016,202.0,175.0,202.0,10.0,,"Public issue of [.] Equity Shares aggregating upto Rs 3,610 million (Including Anchor portion of 53,61,385 Equity Shares)",100% Book Building,Karvy Computershare Private Limited,3.353852604942416,10.506404385373555,0.9635761772853184,,3.691404176495556,4125715.0,3094286.0,7220000.0,14440001.0,13837040.0,32509820.0,14763000.0,53303880.0,180.95980834960938,170.06207275390625,-10.41593646058942,-15.810855072323637
JETKNIT,Jet Knitwears Limited,SME,2016,27-SEP-2016,29-SEP-2016,07-OCT-2016,39.0,39.0,39.0,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,57000.0,2469000.0,2133000.0,4071000.0,,,,
JAIPURKURT,Nandani Creation Limited,SME,2016,28-SEP-2016,03-OCT-2016,02-SEP-2021,59.0,28.0,28.0,,,,,,,,,,0.0,,,,0.0,,,,0.0,72.69999694824219,59.29999923706055,23.22033381057998,0.5084732831534693
PANSARI,Pansari Developers Limited,SME,2016,30-SEP-2016,06-OCT-2016,18-OCT-2021,55.0,22.0,22.0,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4170000.0,3948000.0,7194000.0,55.0,63.599998474121094,0.0,15.636360862038352
DRL,Dhanuka Realty Limited,SME,2016,30-SEP-2016,06-OCT-2016,18-OCT-2016,40.0,40.0,40.0,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1563000.0,1365000.0,2784000.0,,,,
GICL,Globe International Carriers Limited,SME,2016,30-SEP-2016,07-OCT-2016,18-FEB-2026,45.0,24.0,24.0,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1992000.0,1686000.0,4500000.0,49.20000076293945,50.0,9.33333502875434,11.11111111111111
